algorithm,param_set,instance,run,pareto_size,best_total_distance,best_max_route,elapsed_time,evaluations
NSGAII,1,Medium,13,100,2479.499868446923,300.90242422476314,5.0303380489349365,50000
NSGAII,1,Medium,14,100,2471.989382776372,310.20407119384447,5.15523886680603,50000
NSGAII,1,Medium,15,100,2664.1878054226677,306.8515245954338,5.068432807922363,50000
NSGAII,1,Medium,16,100,2694.9208475105793,332.62517092724624,5.080101728439331,50000
NSGAII,1,Medium,17,100,2459.2779540648853,325.1658599334216,5.027814865112305,50000
NSGAII,1,Medium,18,100,2761.7566526067944,329.4259502710494,5.143189907073975,50000
NSGAII,1,Medium,19,100,2535.5117775310896,315.23753564858885,5.367085218429565,50000
NSGAII,1,Medium,20,100,2641.1391861755274,290.0140322462561,5.28211784362793,50000
NSGAII,1,Large,1,100,46149.34520241932,2235.007475761325,9.616361856460571,50000
NSGAII,1,Large,2,100,47229.120903336785,2345.258496811511,9.367308616638184,50000
NSGAII,1,Large,3,100,46887.24717631358,2298.715981199096,8.597424268722534,50000
NSGAII,1,Large,4,100,44767.26736025309,2198.746993595693,8.016152143478394,50000
NSGAII,1,Large,5,100,46782.68826932673,2128.13053829236,8.624603033065796,50000
NSGAII,1,Large,6,100,44523.600440979004,2229.303752130165,8.212367057800293,50000
NSGAII,1,Large,7,100,47640.63846301744,2133.2206569079194,8.118905067443848,50000
NSGAII,1,Large,8,95,44246.38289981656,2102.343471008996,8.298446893692017,50000
NSGAII,1,Large,9,100,45341.53409246491,2117.013892816445,8.825255155563354,50000
NSGAII,1,Large,10,100,46827.94995520693,2155.826518002357,8.015233039855957,50000
NSGAII,1,Large,11,100,46931.36646887264,2331.1428757617987,8.487613916397095,50000
NSGAII,1,Large,12,100,45599.74748778969,2349.227288678144,7.725080728530884,50000
NSGAII,1,Large,13,100,45361.882779421365,2204.4026618970593,7.980755090713501,50000
NSGAII,1,Large,14,100,47321.09392716591,2174.1899003875988,7.590557813644409,50000
NSGAII,1,Large,15,100,45297.91946790289,2220.2718339980447,8.214295148849487,50000
NSGAII,1,Large,16,100,45083.66937002021,2256.521607673999,7.866674900054932,50000
NSGAII,1,Large,17,100,46873.37908424351,2275.4655174766226,8.078701972961426,50000
NSGAII,1,Large,18,100,47095.88129895998,2207.4727218508333,7.947607040405273,50000
NSGAII,1,Large,19,100,46561.7318729298,2282.2906469177224,7.774792909622192,50000
NSGAII,1,Large,20,100,50393.37346733859,2227.249538776114,7.472225189208984,50000
NSGAII,2,Small,1,50,1267.4208851466267,296.2063372374534,0.5326352119445801,12500
NSGAII,2,Small,2,50,1078.46483853981,268.8810452510401,0.5126690864562988,12500
NSGAII,2,Small,3,50,1172.2393879899269,280.32502381322234,0.5474178791046143,12500
NSGAII,2,Small,4,50,1095.2010883240814,273.68872128774154,0.5160970687866211,12500
NSGAII,2,Small,5,50,1046.1713892033997,268.5030867358006,0.5459949970245361,12500
NSGAII,2,Small,6,50,1016.2852198123944,278.80461365771487,0.533768892288208,12500
NSGAII,2,Small,7,50,1243.9454940092708,283.19153322142233,0.5208759307861328,12500
